ticker,dateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
NKE,2020-02-15,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-16,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-17,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-18,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-19,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-20,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-21,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-22,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-23,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
NKE,2020-02-24,USD,912000000,None,None,190000000,555000000,174000000,238000000,112000000,338000000,1115000000,-440000000,-858000000,None,922000000,922000000,None,344000000,344000000,None,None,None,None,-550000000,None,-376000000,10000000,1115000000
