,Stock,Date,MAVG_20,MAVG_200,EMA,MACD,MACD_EMA,REL_VOL
11228,PLUG,2020-08-01,8.754000000000001,4.532900000000004,8.242603090684096,0.2471233839833573,0.5146644011985537,
11229,PLUG,2020-08-02,8.754000000000001,4.532900000000004,8.242603090684096,0.2471233839833573,0.5146644011985537,
11230,PLUG,2020-08-03,8.713000000000001,4.564700000000005,8.329974224904658,0.2965214809928849,0.4710358171574199,0.3819996214524346
11231,PLUG,2020-08-04,8.7025,4.595650000000004,8.406167155866118,0.3294513691799174,0.4427189275619195,-0.1210519015427902
11232,PLUG,2020-08-05,8.694,4.627100000000004,8.494151236259821,0.367451123523832,0.427665366754302,-0.3150038922169288
11233,PLUG,2020-08-06,8.783000000000001,4.6661500000000045,8.707089213758886,0.5047164453200743,0.4430755824674564,1.205313652704025
11234,PLUG,2020-08-07,8.882000000000001,4.7080500000000045,8.95212833625804,0.6503833903704646,0.4845371440480581,0.5014679640151911
11235,PLUG,2020-08-08,8.882000000000001,4.7080500000000045,8.95212833625804,0.6503833903704646,0.4845371440480581,
11236,PLUG,2020-08-09,8.882000000000001,4.7080500000000045,8.95212833625804,0.6503833903704646,0.4845371440480581,
11237,PLUG,2020-08-10,9.0685,4.7534000000000045,9.246211351852514,0.8177249183686826,0.5511746989121831,0.3604601373489145
11238,PLUG,2020-08-11,9.20125,4.794675000000004,9.442286461199895,0.8808816720041133,0.6171160935305692,0.1507432702397971
11239,PLUG,2020-08-12,9.28075,4.832925000000004,9.555402036323716,0.8664787676215688,0.6669886283487692,0.9507329163002496
11240,PLUG,2020-08-13,9.39575,4.875125000000004,9.72726850905479,0.9035536571495264,0.7143016341089207,0.3300065024427677
11241,PLUG,2020-08-14,9.51625,4.918375000000005,9.886576270097192,0.9254949106868208,0.7565402894245008,-0.1286888247691309
11242,PLUG,2020-08-15,9.51625,4.918375000000005,9.886576270097192,0.9254949106868208,0.7565402894245008,
11243,PLUG,2020-08-16,9.51625,4.918375000000005,9.886576270097192,0.9254949106868208,0.7565402894245008,
11244,PLUG,2020-08-17,9.69625,4.966175000000004,10.106902339611745,0.9959560647609216,0.804423444491785,-0.0226079993478652
11245,PLUG,2020-08-18,9.88075,5.016775000000004,10.36053068822015,1.085280831459878,0.8605949218854038,0.0751078601083256
11246,PLUG,2020-08-19,10.115750000000002,5.071125000000005,10.673813479818232,1.2130961805093765,0.9310951736101984,0.6573182203963848
11247,PLUG,2020-08-20,10.37275,5.125525000000005,10.9591645769784,1.3010073949440617,1.0050776178769711,0.1739964042683855
11248,PLUG,2020-08-21,10.59325,5.176325000000005,11.146863188694743,1.296026068419167,1.0632673079854102,0.358362116345168
11249,PLUG,2020-08-22,10.59325,5.176325000000005,11.146863188694743,1.296026068419167,1.0632673079854102,
11250,PLUG,2020-08-23,10.59325,5.176325000000005,11.146863188694743,1.296026068419167,1.0632673079854102,
11251,PLUG,2020-08-24,10.792750000000002,5.223775000000005,11.26049526596191,1.2302882648065658,1.0966714993496414,0.1644538049970064
11252,PLUG,2020-08-25,11.03225,5.2747250000000045,11.411876669203634,1.20544766921485,1.1184267333226832,-0.4324282860025735
11253,PLUG,2020-08-26,11.275250000000002,5.326325000000004,11.567888414993766,1.1882027847003762,1.132381943598222,-0.0473005987622473
11254,PLUG,2020-08-27,11.52625,5.376575000000003,11.703327613565786,1.156364738032904,1.1371785024851584,-0.5527265053995885
11255,PLUG,2020-08-28,11.794250000000002,5.426575000000003,11.833486888464284,1.124624220124968,1.1346676460131204,-0.8028615264476439
11256,PLUG,2020-08-29,11.794250000000002,5.426575000000003,11.833486888464284,1.124624220124968,1.1346676460131204,
11257,PLUG,2020-08-30,11.794250000000002,5.426575000000003,11.833486888464284,1.124624220124968,1.1346676460131204,
11258,PLUG,2020-08-31,11.98525,5.474575000000003,11.942678613372449,1.0797605753808597,1.1236862318866685,-0.6853400988938902
11259,PLUG,2020-09-01,12.23525,5.528125000000004,12.150994935908406,1.1240439240812776,1.12375777032559,-0.1040255978338244
11260,PLUG,2020-09-02,12.42575,5.576375000000004,12.24518589439332,1.0669548790564622,1.1123971920717646,-0.1527649267904678
11261,PLUG,2020-09-03,12.46675,5.615375000000004,12.178977713974907,0.883230357979393,1.0665638252532903,0.0244919582402876
11262,PLUG,2020-09-04,12.490750000000002,5.657225000000003,12.139075074548726,0.7459734784121288,1.002445755885058,0.0738194972333205
11263,PLUG,2020-09-05,12.490750000000002,5.657225000000003,12.139075074548726,0.7459734784121288,1.002445755885058,
11264,PLUG,2020-09-06,12.490750000000002,5.657225000000003,12.139075074548726,0.7459734784121288,1.002445755885058,
11265,PLUG,2020-09-07,12.490750000000002,5.657225000000003,12.139075074548726,0.7459734784121288,1.002445755885058,
11266,PLUG,2020-09-08,12.47525,5.698475000000003,12.100115543639324,0.6275417525014539,0.927464955208337,-0.1963989070847215
11267,PLUG,2020-09-09,12.516500000000002,5.742275000000004,12.10296168234034,0.5595107222010505,0.8538741086068797,-0.55979362728543
11268,PLUG,2020-09-10,12.591000000000005,5.785975000000003,12.10458437926031,0.4990361460716617,0.7829065160998362,-0.2366474991062773
11269,PLUG,2020-09-11,12.6085,5.826025000000003,12.067004914568852,0.4132622058441146,0.708977654048692,-0.6660568536778134
11270,PLUG,2020-09-12,12.6085,5.826025000000003,12.067004914568852,0.4132622058441146,0.708977654048692,
11271,PLUG,2020-09-13,12.6085,5.826025000000003,12.067004914568852,0.4132622058441146,0.708977654048692,
11272,PLUG,2020-09-14,12.6505,5.867725000000003,12.083480636990863,0.3836300622943938,0.6439081356978323,-0.7520369372418727
11273,PLUG,2020-09-15,12.667000000000002,5.910375000000003,12.126006290610784,0.3791760459828559,0.5909617177548371,-0.4260749905159806
11274,PLUG,2020-09-16,12.6755,5.955575000000002,12.203529501028806,0.4040718902289963,0.5535837522496689,-0.4628794138709932
11275,PLUG,2020-09-17,12.635000000000002,6.000775000000002,12.264145739026064,0.4109951654619674,0.5250660348921287,-0.5352058647845048
11276,PLUG,2020-09-18,12.6295,6.051675000000001,12.387560430547389,0.469171575795924,0.5138871430728877,0.1413835476278698
11277,PLUG,2020-09-19,12.6295,6.051675000000001,12.387560430547389,0.469171575795924,0.5138871430728877,
11278,PLUG,2020-09-20,12.6295,6.051675000000001,12.387560430547389,0.469171575795924,0.5138871430728877,
11279,PLUG,2020-09-21,12.651,6.101975000000001,12.480173722876213,0.4934502838832575,0.5097997712349617,0.0843131497592321
11280,PLUG,2020-09-22,12.6805,6.151175000000002,12.523014320697524,0.4725467043632658,0.5023491578606225,-0.1385902348199302
11281,PLUG,2020-09-23,12.64175,6.195800000000002,12.480346290154904,0.382578980188196,0.4783951223261372,-0.0732373830224579
11282,PLUG,2020-09-24,12.55125,6.237000000000002,12.362218072044913,0.2411218859748132,0.4309404750558724,0.3414471136455815
11283,PLUG,2020-09-25,12.484249999999998,6.279900000000002,12.294387779469208,0.1602524032039323,0.3768028606854844,-0.1608190626337632
11284,PLUG,2020-09-26,12.484249999999998,6.279900000000002,12.294387779469208,0.1602524032039323,0.3768028606854844,
11285,PLUG,2020-09-27,12.484249999999998,6.279900000000002,12.294387779469208,0.1602524032039323,0.3768028606854844,
11286,PLUG,2020-09-28,12.490749999999997,6.329800000000002,12.380636562376903,0.2187136072643092,0.3451850100012494,0.411705114718791
11287,PLUG,2020-09-29,12.49975,6.379900000000003,12.45486165167434,0.2588331989667214,0.3279146477943438,-0.0708196322230511
11288,PLUG,2020-09-30,12.46375,6.431500000000003,12.545827208657736,0.3072592813664236,0.3237835745087598,0.0126707799687216
11289,PLUG,2020-10-01,12.5065,6.485625000000002,12.683843664976049,0.3883650806098799,0.3366998757289839,0.1180520005787799
11290,PLUG,2020-10-02,12.636,6.540975000000003,12.822525220692617,0.4590506488990851,0.3611700303630042,0.0539446404834976
11291,PLUG,2020-10-03,12.636,6.540975000000003,12.822525220692617,0.4590506488990851,0.3611700303630042,
11292,PLUG,2020-10-04,12.636,6.540975000000003,12.822525220692617,0.4590506488990851,0.3611700303630042,
11293,PLUG,2020-10-05,12.835,6.605175000000003,13.100379961579034,0.6368350611040263,0.4163030365112087,0.6109244923337457
11294,PLUG,2020-10-06,13.06,6.671675000000002,13.39843901285722,0.8079557822206755,0.4946335856531021,0.617053449466613
11295,PLUG,2020-10-07,13.36475,6.748100000000002,13.8581114878232,1.0919625491101197,0.6140993783445058,0.7203233529565556
11296,PLUG,2020-10-08,13.65275,6.822700000000002,14.241148488982894,1.2745095881362083,0.7461814203028464,0.7007966490729448
11297,PLUG,2020-10-09,13.98875,6.899300000000003,14.64008672812738,1.4468810906422718,0.8863213543707317,0.1973994017541929
11298,PLUG,2020-10-10,13.98875,6.899300000000003,14.64008672812738,1.4468810906422718,0.8863213543707317,
11299,PLUG,2020-10-11,13.98875,6.899300000000003,14.64008672812738,1.4468810906422718,0.8863213543707317,
11300,PLUG,2020-10-12,14.25875,6.971750000000003,14.92579275402001,1.5024213721995334,1.009541357936492,0.2737383826174537
11301,PLUG,2020-10-13,14.487250000000005,7.041850000000003,15.13286011078001,1.4857373036509571,1.104780547079385,-0.2073799809025749
11302,PLUG,2020-10-14,14.705250000000005,7.112950000000003,15.33925438594382,1.471688676683824,1.178162173000273,-0.489352293819637
11303,PLUG,2020-10-15,14.914750000000009,7.182300000000002,15.500277777758695,1.4223720751946605,1.2270041534391505,-0.372279776529778
11304,PLUG,2020-10-16,15.050250000000004,7.247450000000002,15.573584656067393,1.306897563199504,1.2429828353912211,0.0903630746155166
11305,PLUG,2020-10-17,15.050250000000004,7.247450000000002,15.573584656067393,1.306897563199504,1.2429828353912211,
11306,PLUG,2020-10-18,15.050250000000004,7.247450000000002,15.573584656067393,1.306897563199504,1.2429828353912211,
11307,PLUG,2020-10-19,15.201750000000004,7.313250000000003,15.651338498346693,1.2111053094916286,1.236607330211303,-0.6408422161618688
11308,PLUG,2020-10-20,15.369500000000006,7.375575000000003,15.711687212789862,1.113876560182133,1.2120611762054692,-0.8574330693692425
11309,PLUG,2020-10-21,15.508750000000006,7.430825000000003,15.63057414490511,0.911331225991704,1.1519151861627162,-0.1071972463029436
11310,PLUG,2020-10-22,15.694750000000004,7.485225000000003,15.566709940628431,0.7502335285377608,1.0715788546377252,-0.2665493566447439
11311,PLUG,2020-10-23,15.863750000000003,7.540125000000004,15.515594708187631,0.6210517595520475,0.9814734356205896,-0.3744529858424015
11312,PLUG,2020-10-24,15.863750000000003,7.540125000000004,15.515594708187631,0.6210517595520475,0.9814734356205896,
11313,PLUG,2020-10-25,15.863750000000003,7.540125000000004,15.515594708187631,0.6210517595520475,0.9814734356205896,
